Date,DIA,IWM
9/7/2022,2520200,24781200
9/8/2022,3301100,25273200
9/9/2022,2479300,23208800
9/12/2022,2486900,23134600
9/13/2022,4301200,34144700
9/14/2022,2868800,25278300
9/15/2022,3294600,25378700
9/16/2022,4071000,41155900
9/19/2022,2730000,25412200
9/20/2022,2822800,22247500
9/21/2022,5110700,29357100
9/22/2022,3492500,33468600
9/23/2022,4949300,40336900
9/26/2022,4143400,30597800
9/27/2022,3681000,42406600
9/28/2022,3995700,35186500
9/29/2022,3351100,31464000
9/30/2022,3827200,40643800
10/3/2022,3457600,33611600
10/4/2022,4163800,37537300
10/5/2022,2746900,25281400
10/6/2022,3081700,22635900
10/7/2022,3029300,26536100
10/10/2022,3154500,23386400
10/11/2022,3849900,28009100
10/12/2022,4378700,26796700
10/13/2022,7389600,45376500
10/14/2022,5519400,29608600
10/17/2022,3555700,28199200
10/18/2022,4685500,34523100
10/19/2022,2939800,27146900
10/20/2022,3574700,26710700
10/21/2022,5357200,45402700
10/24/2022,4331700,27284500
10/25/2022,6024800,33105700
10/26/2022,4991800,37084700
10/27/2022,4262200,28651800
10/28/2022,5251400,33221600
10/31/2022,5128200,25699400
11/1/2022,4376400,27446700
11/2/2022,7110300,38139600
11/3/2022,4112700,29093200
11/4/2022,6263700,25842400
11/7/2022,4518300,20689900
11/8/2022,6349000,20265200
11/9/2022,4799200,27277000
11/10/2022,6002300,38572800
11/11/2022,5190700,28765400
11/14/2022,3303300,26499600
11/15/2022,4824100,26128800
11/16/2022,3085500,24802000
11/17/2022,3606500,20835700
11/18/2022,3659100,27269100
11/21/2022,2304100,19038900
11/22/2022,4389400,16869700
11/23/2022,3108500,19758800
11/25/2022,1498300,13393400
11/28/2022,3089800,17465600
11/29/2022,2943600,14020600
11/30/2022,6940400,28030100
12/1/2022,5325900,21996400
12/2/2022,3736500,22574800
12/5/2022,3827200,25449300
12/6/2022,5516300,18502100
12/7/2022,3577100,17177800
12/8/2022,3278400,20971400
12/9/2022,3815500,22046500
12/12/2022,5017300,22765400
12/13/2022,5274300,38445300
12/14/2022,5498400,32406900
12/15/2022,5865600,33546700
12/16/2022,6672200,38502400
12/19/2022,3709600,25614000
12/20/2022,4721700,18050800
12/21/2022,5086800,22997200
12/22/2022,4876900,21297600
12/23/2022,3997900,11647700
12/27/2022,3098900,13553800
12/28/2022,3102400,19648000
12/29/2022,2458800,22311300
12/30/2022,3881800,21275600
1/3/2023,3910700,22503800
1/4/2023,4137300,22973500
1/5/2023,4350100,17032600
1/6/2023,4800800,21986900
1/9/2023,3864000,18366500
1/10/2023,2277500,18751100
1/11/2023,3265800,18222700
1/12/2023,4332600,29650800
1/13/2023,3473400,22120000
1/17/2023,3929700,22422600
1/18/2023,5164300,23507800
1/19/2023,3454200,24624500
1/20/2023,4120200,36070300
1/23/2023,3985300,20329900
1/24/2023,3360900,19263500
1/25/2023,4318600,18174600
1/26/2023,2930900,18369100
1/27/2023,2907400,20019900
1/30/2023,3032700,18395100
1/31/2023,2593500,21567900
2/1/2023,6175400,27007300
2/2/2023,5169400,31020400
2/3/2023,6504300,24981500
2/6/2023,2708400,18160100
2/7/2023,4969600,27074100
2/8/2023,2769500,17933500
2/9/2023,3094700,20516600
2/10/2023,2523900,15248700
2/13/2023,2653900,15754400
2/14/2023,3501100,21889600
2/15/2023,1967700,18721200
2/16/2023,3229600,21366300
2/17/2023,3034200,23892200
2/21/2023,3142900,26004000
2/22/2023,2896400,24651700
2/23/2023,5999600,21311700
2/24/2023,3764700,24280700
2/27/2023,2887300,17562900
2/28/2023,3155300,19542600
3/1/2023,3317500,22532800
3/2/2023,3047500,18104400
3/3/2023,3033500,22774300
3/6/2023,2641700,23266700
3/7/2023,5009200,25865700
3/8/2023,3169600,22505900
3/9/2023,4760900,33546900
3/10/2023,7741600,69274200
3/13/2023,6831600,74171500
3/14/2023,4760500,48946200
3/15/2023,6518000,54405800
3/16/2023,6569900,52392300
3/17/2023,5314900,70239900
3/20/2023,4695000,46103200
3/21/2023,3527300,34465900
3/22/2023,4378700,56098200
3/23/2023,4772600,47720900
3/24/2023,4484900,47519700
3/27/2023,3550900,33880600
3/28/2023,2536500,28555100
3/29/2023,2531700,25564800
3/30/2023,2487000,26728600
3/31/2023,2837300,39602900
4/3/2023,3450700,27609000
4/4/2023,2449900,33487200
4/5/2023,2566600,28247300
4/6/2023,2333300,26366300
4/10/2023,2834200,22237800
4/11/2023,2343100,21876200
4/12/2023,3363800,27018100
4/13/2023,3040900,23259900
4/14/2023,3107900,29600400
4/17/2023,2226400,22177300
4/18/2023,2191100,22873100
4/19/2023,2854700,19306800
4/20/2023,2179300,20336300
4/21/2023,2470100,25972800
4/24/2023,2288800,17781000
4/25/2023,2745300,28857900
4/26/2023,3588400,30309800
4/27/2023,3066600,33424100
4/28/2023,3647900,31897900
5/1/2023,2296200,27420100
5/2/2023,3275800,40851100
5/3/2023,3924100,43261400
5/4/2023,3576800,42382100
5/5/2023,3542100,35436200
5/8/2023,1789900,22109900
5/9/2023,1924900,21465500
5/10/2023,3365500,27281900
5/11/2023,2744700,25884600
5/12/2023,2635300,20396400
5/15/2023,2171000,24310000
5/16/2023,2265200,24212900
5/17/2023,3068800,38231600
5/18/2023,3553500,30446600
5/19/2023,3705100,34298000
5/22/2023,2555100,28207200
5/23/2023,2526200,32708900
5/24/2023,2978300,28744200
5/25/2023,3499900,36202600
5/26/2023,3580000,29841300
5/30/2023,3474500,25572600
5/31/2023,3067600,34598800
6/1/2023,3081300,27800900
6/2/2023,5582600,50193400
6/5/2023,3415600,34465800
6/6/2023,2824900,58584500
6/7/2023,2739000,60685600
6/8/2023,2700300,34185000
6/9/2023,3162300,30216600
6/12/2023,2035500,26580500
6/13/2023,3259300,35758200
6/14/2023,3766000,37114100
6/15/2023,4722500,36488400
6/16/2023,5574600,50674000
6/20/2023,3387200,33269300
6/21/2023,3050700,30730200
6/22/2023,2605500,27063700
6/23/2023,3720500,50485400
6/26/2023,2301900,31507900
6/27/2023,1778800,28818800
6/28/2023,2305000,23187600
6/29/2023,2902700,32084100
6/30/2023,3025000,30271600
7/3/2023,1698400,14011900
7/5/2023,2717000,24092100
7/6/2023,3742400,39080800
